Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_4/inst/probe0_1[13:0]
720,720,0,-369
721,721,0,4017
722,722,0,2781
723,723,0,-2200
724,724,0,-4021
725,725,0,-364
726,726,0,4023
727,727,0,2785
728,728,0,-2201
729,729,0,-4019
730,730,0,-365
731,731,0,4023
732,732,0,2783
733,733,0,-2204
734,734,0,-4027
735,735,0,-362
736,736,0,4022
737,737,0,2781
738,738,0,-2206
739,739,0,-4022
740,740,0,-366
741,741,0,4026
742,742,0,2786
743,743,0,-2195
744,744,0,-4020
745,745,0,-364
746,746,0,4020
747,747,0,2782
748,748,0,-2196
749,749,0,-4018
750,750,0,-364
751,751,0,4023
752,752,0,2783
753,753,0,-2197
754,754,0,-4023
755,755,0,-365
756,756,0,4027
757,757,0,2782
758,758,0,-2203
759,759,0,-4016
760,760,0,-362
761,761,0,4020
762,762,0,2786
763,763,0,-2203
764,764,0,-4023
765,765,0,-361
766,766,0,4026
767,767,0,2781
768,768,0,-2200
769,769,0,-4023
770,770,0,-365
771,771,0,4025
772,772,0,2783
773,773,0,-2204
774,774,0,-4019
775,775,0,-363
776,776,0,4022
777,777,0,2778
778,778,0,-2204
779,779,0,-4022
780,780,0,-364
781,781,0,4021
782,782,0,2779
783,783,0,-2197
784,784,0,-4022
785,785,0,-365
786,786,0,4021
787,787,0,2784
788,788,0,-2204
789,789,0,-4020
790,790,0,-361
791,791,0,4023
792,792,0,2783
793,793,0,-2200
794,794,0,-4021
795,795,0,-369
796,796,0,4020
797,797,0,2782
798,798,0,-2206
799,799,0,-4021
800,800,0,-366
801,801,0,4027
802,802,0,2783
803,803,0,-2205
804,804,0,-4021
805,805,0,-366
806,806,0,4021
807,807,0,2787
808,808,0,-2202
809,809,0,-4020
810,810,0,-365
811,811,0,4019
812,812,0,2779
813,813,0,-2204
814,814,0,-4021
815,815,0,-357
816,816,0,4028
817,817,0,2784
818,818,0,-2205
819,819,0,-4023
820,820,0,-362
821,821,0,4017
822,822,0,2779
823,823,0,-2201
824,824,0,-4023
825,825,0,-360
826,826,0,4019
827,827,0,2777
828,828,0,-2204
829,829,0,-4021
830,830,0,-364
831,831,0,4021
832,832,0,2779
833,833,0,-2203
834,834,0,-4022
835,835,0,-362
836,836,0,4024
837,837,0,2781
838,838,0,-2202
839,839,0,-4018
840,840,0,-355
841,841,0,4024
842,842,0,2780
843,843,0,-2207
844,844,0,-4022
845,845,0,-361
846,846,0,4025
847,847,0,2783
848,848,0,-2207
849,849,0,-4022
850,850,0,-358
851,851,0,4021
852,852,0,2777
853,853,0,-2208
854,854,0,-4017
855,855,0,-362
856,856,0,4025
857,857,0,2782
858,858,0,-2207
859,859,0,-4016
860,860,0,-356
861,861,0,4026
862,862,0,2784
863,863,0,-2205
864,864,0,-4017
865,865,0,-357
866,866,0,4023
867,867,0,2783
868,868,0,-2205
869,869,0,-4018
870,870,0,-358
871,871,0,4025
872,872,0,2782
873,873,0,-2203
874,874,0,-4019
875,875,0,-356
876,876,0,4027
877,877,0,2777
878,878,0,-2208
879,879,0,-4018
880,880,0,-361
881,881,0,4029
882,882,0,2781
883,883,0,-2203
884,884,0,-4016
885,885,0,-357
886,886,0,4027
887,887,0,2780
888,888,0,-2208
889,889,0,-4015
890,890,0,-358
891,891,0,4023
892,892,0,2776
893,893,0,-2208
894,894,0,-4019
895,895,0,-356
896,896,0,4022
897,897,0,2776
898,898,0,-2206
899,899,0,-4016
900,900,0,-356
901,901,0,4025
902,902,0,2780
903,903,0,-2204
904,904,0,-4019
905,905,0,-357
906,906,0,4023
907,907,0,2781
908,908,0,-2209
909,909,0,-4020
910,910,0,-355
911,911,0,4024
912,912,0,2778
913,913,0,-2205
914,914,0,-4021
